ᶲ	ꜰʜ'〖拉-小〗(ex-ipa)
ᵐ	ᴍʜ'〖拉-小〗(ex-ipa)
ᵇ	ʙʜ'〖拉-小〗(ex-ipa)
ᵝ	ʙʜ'〖拉-小〗(ex-ipa)
⁻	ᴇᴡ'〖拉-小〗(ex-ipa)
ᶠ	ꜰʜ'〖拉-小〗(ex-ipa)
ᶬ	ᴍᴊ'〖拉-小〗(ex-ipa)
ᵛ	ᴠʜ'〖拉-小〗(ex-ipa)
ᶞ	ᴅꜰxʜ'@ᴅxʜ'〖拉-小〗(ex-ipa)
ᵗ	ᴛʜ'〖拉-小〗(ex-ipa)
ˢ	sʜ'〖拉-小〗(ex-ipa)
ᵈ	ᴅʜ'〖拉-小〗(ex-ipa)
ᶻ	ᴢʜ'〖拉-小〗(ex-ipa)
ʴ	ʀǫʜ'〖拉-小〗(ex-ipa)
ʳ	ʀʜ'〖拉-小〗(ex-ipa)
ᶴ	sꜰʜ'〖拉-小〗(ex-ipa)
ᶝ	ᴄɢʜ'@ɢꜰǫʜ'〖拉-小〗(ex-ipa)
ᶾ	ᴢꜰʜ'〖拉-小〗(ex-ipa)
ᶽ	ᴢɢʜ'〖拉-小〗(ex-ipa)
ᶳ	sᴄʜ'〖拉-小〗(ex-ipa)
ᶯ	ɴᴄʜ'〖拉-小〗(ex-ipa)
ᶼ	ᴢᴄʜ'〖拉-小〗(ex-ipa)
ʵ	ʀǫᴄʜ'@ʀʀǫʜ'〖拉-小〗(ex-ipa)
ᶩ	ʟᴄʜ'〖拉-小〗(ex-ipa)
ᶜ	ᴄʜ'〖拉-小〗(ex-ipa)
ᶮ	ɴᴊʜ'〖拉-小〗(ex-ipa)
ᶡ	ᴊᴛʜ'〖拉-小〗(ex-ipa)
ᶨ	ɪɢʜ'@ᴊɢʜ'〖拉-小〗(ex-ipa)
ᵏ	ᴋʜ'〖拉-小〗(ex-ipa)
ˣ	xʜ'〖拉-小〗(ex-ipa)
ᵑ	ɴᴊʜ'〖拉-小〗(ex-ipa)
ᶢ	ɢʜ'〖拉-小〗(ex-ipa)
ᶭ	ᴍǫʜ'@ᴡꜰʜ'〖拉-小〗(ex-ipa)
ᵡ	xʜ'〖拉-小〗(ex-ipa)
ᶫ	ʟʜ;〖拉-大〗(ex-ipa)
ᶰ	ɴʜ;〖拉-大〗(ex-ipa)
ʶ	ʀᴋʜ;〖拉-大〗(ex-ipa)
ˁ	ᴄꜰᴋʜ'@ᴄꜰʏʜ'@ᴄʏʜ'〖拉-小〗(ex-ipa)
ᵸ	ʜʜ'〖拉-小〗(ex-ipa)
ˀ	ᴊꜰᴋʜ'@ᴊꜰʏʜ'@ᴊʏʜ'〖拉-小〗(ex-ipa)
ⁱ	ɪʜ'〖拉-小〗(ex-ipa)
ᶦ	ɪʜ;〖拉-大〗(ex-ipa)
ᵉ	ᴇʜ'〖拉-小〗(ex-ipa)
ᵋ	ᴇʜ'〖拉-小〗(ex-ipa)
ᵆ	ᴀᴇʜ'@ᴀᴇǫʜ'@ᴀʜᴇʜ'@ᴀʜᴇǫʜ'@ᴇǫᴀǫʜ'@ᴇǫᴇʜ'@ᴇǫʜᴀǫʜ'@ᴇǫʜᴇʜ'〖拉-小〗(ex-ipa)
ʸ	ʏʜ'〖拉-小〗(ex-ipa)
ʏ	ʏɪ;〖拉-大〗(ex-ipa)
ᶤ	ɪᴛʜ'〖拉-小〗(ex-ipa)
ᵻ	ɪᴛ;@ᴛꜰ;〖拉-大〗(ex-ipa)
ᶧ	ɪᴛʜ;@ᴛꜰʜ;〖拉-大〗(ex-ipa)
ᶶ	ᴜᴛʜ'〖拉-小〗(ex-ipa)
ᶱ	ǫʜ'〖拉-小〗(ex-ipa)
ᶟ	ᴢʜ'〖拉-小〗(ex-ipa)
ᵄ	ᴀǫʜ'〖拉-小〗(ex-ipa)
ᵃ	ᴀʜ'〖拉-小〗(ex-ipa)
ᵚ	ᴍǫʜ'〖拉-小〗(ex-ipa)
ᵘ	ᴜʜ'〖拉-小〗(ex-ipa)
ᶷ	ᴡᴋʜ'〖拉-小〗(ex-ipa)
ᵒ	ᴏʜ'〖拉-小〗(ex-ipa)
ᵓ	ᴄᴋʜ'@ᴊꜰʜ'〖拉-小〗(ex-ipa)
ᶺ	ʟʜ'〖拉-小〗(ex-ipa)
ᵅ	ᴀʜ'〖拉-小〗(ex-ipa)
ᶛ	ᴀǫʜ'〖拉-小〗(ex-ipa)
ƍ	ᴅꜰᴋ'@ᴅǫ'〖拉-小〗(o/n-ipa)
ƺ	ᴢꜰᴄ'@ᴢꜰs'@ᴢs'〖拉-小〗(o/n-ipa)
ƪ	ɪᴄᴏ'@ɪꜰ'@ɪᴏᴄ'@sꜰᴋᴏ'〖拉-小〗(o/n-ipa)
ƻ	ʀꜰᴛ'〖拉-小〗(o/n-ipa)
ƾ	ᴊꜰᴛ'@ᴊꜰʏᴋᴛ'@ᴊʏᴋᴛ'@ᴛꜰɢ'〖拉-小〗(o/n-ipa)
ƞ	ʜɪ'@ɴʏ'〖拉-小〗(o/n-ipa)
ᶀ	ʙᴊ'〖拉-小〗(o/n-ipa)
ᶁ	ᴅᴊ'〖拉-小〗(o/n-ipa)
ᶂ	ꜰᴊ'〖拉-小〗(o/n-ipa)
ᶃ	ɢᴋ'〖拉-小〗(o/n-ipa)
ᶄ	ᴋᴊ'〖拉-小〗(o/n-ipa)
ᶅ	ʟᴊ'〖拉-小〗(o/n-ipa)
ᶆ	ᴍᴊ'〖拉-小〗(o/n-ipa)
ᶇ	ɴᴊ'〖拉-小〗(o/n-ipa)
ᶈ	ᴘᴊ'@ᴘᴋ'〖拉-小〗(o/n-ipa)
ᶉ	ʀᴊ'〖拉-小〗(o/n-ipa)
ᶊ	sᴊ'〖拉-小〗(o/n-ipa)
ᶋ	sꜰᴋ'〖拉-小〗(o/n-ipa)
ƫ	ᴛᴊ'〖拉-小〗(o/n-ipa)
ᶌ	ᴠᴊ'〖拉-小〗(o/n-ipa)
ᶍ	xᴊ'〖拉-小〗(o/n-ipa)
ᶎ	ᴢᴊ'〖拉-小〗(o/n-ipa)
ʓ	ᴢꜰɢ'〖拉-小〗(o/n-ipa)
ʆ	ɪꜰǫ'@sꜰɢ'〖拉-小〗(o/n-ipa)
ř	ʀᴠ'〖拉-小〗(o/n-ipa)
ɼ	ʀɪ'〖拉-小〗(o/n-ipa)
λ	ʟɪ'〖拉-小〗【希-小】(o/n-ipa)
ƛ	ʟx'〖拉-小〗(o/n-ipa)
ł	ʟx'〖拉-小〗(o/n-ipa)
š	sᴠ'〖拉-小〗(o/n-ipa)
č	ᴄᴠ'〖拉-小〗(o/n-ipa)
ž	ᴢᴠ'〖拉-小〗(o/n-ipa)
ǰ	ᴊᴠ'〖拉-小〗(o/n-ipa)
ǧ	ɢᴠ'〖拉-小〗(o/n-ipa)
ǯ	ᴢꜰᴠ'〖拉-小〗(o/n-ipa)
ẋ	xᴀ'〖拉-小〗(o/n-ipa)
ρ	ᴘɪ'〖拉-小〗【希-小】(o/n-ipa)
ᵿ	ᴡᴋᴛ'〖拉-小〗(o/n-ipa)
ʚ	ʙꜰᴋ'〖拉-小〗(o/n-ipa)
ɷ	ʙꜰǫ'〖拉-小〗(o/n-ipa)
